"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","f","n","k"
"1",2.10444931611106,1.35221392512662,4.21196615555201,1.95000432328977,1.73542957512345,1.57358899197319,2.08801061586818,2.35132409048142,2.43757034878393,4.77277564644911,3.48504143708632,3.13507271776116,1.78952804439363,2.35816509227068,1.87707882034523,1.12011071763518,2.1289092595831,3.2768570296897,2.4217541279446,4.55775498685557,3.18017553349422,2.90468225050432,1.89737399728792,5.20587051380905,2.64073343084836,2.92735874415644,3.02885395853213,1.60807769302194,0.931331593213956,3.53513661451683,5.51403669543759,2.66774684388759,5.43750066921135,2.97189580529178,6.43224320609019,2.69642808949609,3.01959327126514,6.80912623495394,4.14322186041967,2.01703293129395,2.55469191616784,3.32440796493677,4.7756146929889,2.3018063821586,3.42261754921542,2.23386644316792,0.78987294068926,2.08090212322433,2.53876391642633,3.59629384432408,3,25,5
"2",1.25994576174429,2.34299979393567,3.37524523667603,2.07804959539532,1.86826412114585,3.51234583198691,1.49444892173406,1.88024768862584,3.3347619002774,5.98568084327747,1.97668252934894,2.67076738741007,3.10177592568096,2.15654557246881,2.67883094329517,2.20332886044464,2.33873046266292,2.58582365395931,6.69803751621652,3.34756439014328,3.53359494877311,3.44973946233471,2.26208166252873,3.89670377695072,1.22937475517283,2.39317773214135,2.22038492842325,1.53525621920519,1.78118549269263,2.98624381653125,4.12512570975725,2.80184715760746,7.6127494708935,3.86053007010514,4.08386006277195,3.68672825326954,1.80201366989586,2.72024140080217,4.42023009430615,3.30955368052943,1.82619707237225,1.94474916731151,2.64563322710682,2.82813291837695,4.22346066352496,4.46940082387762,2.22807626913741,2.73341416332919,3.66998109412083,2.63205876611043,3,25,5
"3",2.43137725580904,1.8658435411888,4.33883078582198,3.24769282711274,2.0535793910818,1.64491168651227,2.07204580590449,2.20258678728288,2.52710990734862,2.07033310393209,1.2550858495459,1.78587753287523,2.15839234970394,1.78226450783832,2.68637447810038,1.77755698280971,2.59202170935662,2.05014183376154,6.04698823360577,3.5245553690914,3.55203571281074,3.32079490295513,2.28689617268948,5.85583303511987,2.19807329329872,3.47417308194604,2.54168906643138,1.42517860218559,1.19672763884299,2.16072886387166,3.96279187845806,2.83203670745781,5.75544080074037,3.99644941221272,3.60890817676017,2.73046232419797,3.94773596691743,2.06884040812677,3.27473980448658,2.27129274677066,2.27890510132666,2.75678317111977,1.75444800310349,3.21836622129369,3.14114120585452,2.03386134490391,1.87920246758357,1.54885494409385,4.68318193827371,7.62228918897895,3,25,5
"4",1.70178191027381,1.60472149614213,2.35746836698272,1.63989607656168,1.64436678910142,1.73158970578552,3.43680986998523,3.35017709468326,4.70076340816197,3.1215149440129,3.33277597357188,2.98093592806783,1.56030489713828,1.87994604836723,3.99409664890655,2.08009690189221,2.26389863100726,2.08207637153668,2.58764385789675,2.25000375777552,3.67438127436888,1.89382025473556,2.51997031122398,9.39986408180372,1.93078671526836,3.6738533443171,2.59312343702103,1.18623640310777,1.01565546155371,4.09765611171557,3.53327314226406,3.73702519177716,7.36703589253024,2.7360885888748,4.18577836575278,1.873074525864,1.23200109137113,2.81600114148562,3.02848193126947,2.09861351196467,2.38845513968488,1.9357945474561,2.38197219993635,6.18519182527286,2.68316698439883,1.92466451853375,3.81815151196737,2.98461574141169,3.25573456107909,2.04707596984714,3,25,5
"5",2.09911713706184,1.93437934800308,6.15592263038181,3.02312646865818,3.29714521141357,2.48624278011385,3.82716204066422,3.45898137908119,3.01881478293308,3.59714328383403,2.13332941116462,3.74601256650726,2.32840523062914,1.57042334346726,3.06328092250231,1.70339011752433,2.42684666436374,2.81975543007165,7.69250818312577,4.90886664249878,5.44379793181735,3.58657964877616,2.70570070767013,5.53423279370743,2.07154151866687,2.66208764095762,3.04663347558362,1.591823440348,1.52851760305347,1.66500320028644,5.38378370056065,4.577540863275,3.05668301673408,3.78066647697827,4.12317579073945,3.14642339830048,2.21936635879802,3.46443177387517,3.86854451426293,1.87576310305583,2.52248102086244,2.41917020491873,3.26424468634178,2.04006239825865,3.62001730037108,3.16780912454285,1.65447298698324,2.80466005898617,3.06125122855065,7.30878905905302,3,25,5
"6",2.31707589112268,1.36045932917265,5.64861764467025,2.24454616683303,1.98774898230194,2.02857166632131,6.08118283848819,2.96921401486707,2.2063825672145,3.54024107007972,3.02025366397838,2.94639019506694,2.80652708470503,2.11026908929494,2.99213089024539,2.1068711063533,2.3348169751847,2.72110717312639,4.99030989657346,2.47072426558678,3.92491217504844,3.43586162659101,1.9181281141692,7.18773334111089,2.1955246989792,2.63145969968342,3.06284663731691,1.63008969690108,2.02636124800715,2.43833661922517,4.41258268673039,3.28995167885793,4.75076880608647,5.44485589555344,4.76219643782898,2.80930393521816,3.07894343490949,9.79714442390733,3.62064002377026,2.16444982727677,1.86763187991586,2.4932064943132,4.31708422384217,3.9392047170576,3.53586981105241,2.94927550273404,1.2850346744732,2.94831331004551,4.15596641503506,2.23133069779553,3,25,5
"7",2.74100181852267,2.3626740714597,3.24028773308335,2.60424387674092,3.73453154672737,2.82100121501762,3.96558227164117,3.70881803525564,2.49636385268966,3.57518702073177,1.67216426059405,1.9205796193835,2.60569838460473,2.11838970356317,3.83071817291523,2.89803252018359,2.40859092036795,3.48477491166045,3.4921796357674,3.86509059680718,5.39941583818937,2.60829756233555,1.46612130085553,5.85959116526235,1.5593559865385,4.26211553069807,2.08881846632533,1.5212314956101,1.75645632916326,1.97162023902937,4.02102709259622,3.72378108766349,4.06507661156319,3.03015723641707,4.78754841597173,2.79642294184439,2.33914226007328,6.52613901267591,3.54313871576187,2.80541531424663,2.02189261345887,2.18199831317032,6.16547822815823,2.44910010725379,3.13542556826355,3.34286833456041,3.41910458300634,3.5104473468518,3.88984621731708,2.02064277788527,3,25,5
"8",2.1755095044158,1.84101827456826,4.72335594728299,2.423715132402,3.85320195175171,1.76942743446172,2.1303904467179,3.03379348674214,4.25287883682711,1.76051872200288,2.03468141695653,2.65196654958321,1.32423742733776,3.15127045057017,3.26147967240315,2.53753222659758,2.09363566360203,3.27483008919794,2.66258461471963,4.77208425203805,4.01172569645721,3.65059935006515,3.23472715013087,7.78446156643677,2.32198453887554,3.16522628264453,2.49084717141186,1.57984189089383,2.42686023191248,3.94910111795214,4.4308676768427,1.91036240541363,7.00863195669327,2.49998219635042,4.35294089469903,3.37079973703775,1.33274449990036,3.85459825609078,5.60788185381102,2.04403573139924,2.68448358803904,4.5647807543495,4.3838298955743,2.50317397157908,2.79230204883426,1.74003070743766,1.50331039667312,1.99779142946087,3.86816407758552,2.95761662082683,3,25,5
"9",1.74299443542807,2.61160265874482,3.44488143160308,1.86176071781037,1.67183809099904,2.38633474696428,9.53297059634891,3.21480416609597,4.23395972456009,2.87087593565695,1.56685580026802,4.09236098665665,2.55302060760792,1.86604842131484,3.46477179868695,1.08797769821596,2.8822727512082,2.36284069969116,6.79933923032256,4.74285759910156,3.51955572897967,2.90030128959578,2.5987472313941,6.52809341670755,2.15589305934626,4.65972298460238,3.99848482637013,1.44915019268263,1.79562803004011,4.47315305683772,5.40826697304359,2.43777962371692,6.10243188380771,5.65751276811424,3.66666819494183,3.10648087537951,2.26510339234411,1.42856775360378,3.30437542846137,2.53676345227133,2.16126155105876,3.47706357943276,5.00555850802638,3.43792629139356,3.97688697478223,3.38881741052147,3.99479170602684,3.10976482518155,2.49853654074682,2.28148359866478,3,25,5
"10",2.30141087632868,2.10552330480695,8.24421051558169,2.12857819128353,1.66998609680111,1.2834921645944,6.87915629935184,2.55216802711074,2.75408655629896,4.31295889423623,1.88225946230404,3.04053398179986,1.76140425218255,2.18225341828433,1.84512240819049,1.40733604590916,2.77593711068848,3.3145882694848,4.83176517843655,2.87848805455379,3.83875734799139,2.79097419533567,3.63295200209182,5.45815793346656,2.64357311551593,2.62442686010076,3.17182651205597,1.22572723078287,1.94945580898823,3.58336004283628,3.92187405840816,1.99025693497071,4.48164891030939,4.17878751478921,2.37148204585147,2.64829414084199,2.9656916820698,3.29814234232678,3.90271520678283,1.91996573335738,1.8612270296481,3.65479073219133,6.92418345480772,2.87766907876355,2.48258755110834,1.55856815716644,1.51104729340722,1.47263823348923,4.63334920129346,5.38957836493727,3,25,5
"11",2.6354874462846,1.34617720186512,5.72146929369969,3.28190979713098,1.61261200905412,2.26584555384354,2.14262017351387,2.20163475623863,2.90703961067759,2.87336455477915,1.65235300495962,3.08423970941602,1.09292938235789,1.35547622310692,2.07126707179465,2.48127054149913,3.10002481972733,1.70912310304978,6.42833462547662,3.83006189781435,4.85125218208679,4.19570219031881,5.34133461321725,7.61003113706086,1.39296166321185,5.98322516855352,1.48199151323764,1.38024851852264,2.15809428927089,1.99920230952068,5.1860201871684,3.0325856302849,5.81194911121818,3.23815569826493,3.75934527703314,1.80979958417945,3.19945435518053,1.48977161803539,3.17637920405413,1.5214677659388,2.38138115865054,1.99185989537276,7.5608463248028,2.81677163310571,2.48850986557832,3.42718664607904,2.59910043897999,2.89590564535438,3.68017374753143,16.6235421559956,3,25,5
"12",2.65512543246132,2.64846425362138,4.12105649163964,1.40070367486556,2.746181067723,2.34688064107096,3.80810915486989,2.13635702703293,3.20412970289504,2.92836735514826,1.43822194148853,2.77126437742669,1.37649094309272,1.88964097816619,3.36470554295567,2.52497632364889,2.04627762099001,1.83361839358824,3.56866079215702,2.00956576119482,4.78502704545076,3.61387111785535,1.86197607532557,4.62498909148629,1.61036763464344,2.55759688587084,2.19840074973653,1.70670568392699,1.71034732745947,1.73349008865918,2.74871357573198,3.01988249940564,2.39635585628095,5.42488464472587,4.43102666490019,5.63805397181861,2.77068311451631,2.91452164667418,3.21292570129379,2.77227508795618,2.60329726343909,3.13085359137892,3.70833494970666,4.36606076035126,3.12161556913005,2.82623119460441,1.48070091559185,3.46567987127726,3.15499555712084,9.49210750055782,3,25,5
"13",1.16146698484769,2.7515399477758,6.20530640723677,1.20955333586599,1.82190007707773,1.64904321450256,4.27298508996063,2.75881324136683,2.66284352578285,2.12830698221974,3.23611251364656,4.63248413177698,1.25807110703017,2.78539378554522,1.52014950750747,2.11501226285933,3.53004167214828,2.70245277368031,3.34563369961535,4.13953883161677,3.97686830459091,1.79012842141106,2.74495800219209,10.0809322429258,1.77435347314954,2.1416619603992,3.05519683025732,1.37913543483431,0.995661004884684,3.81144513783175,2.15042377771767,1.7800176579947,4.08806794772341,2.9485248233369,3.15519847826989,1.87651703270484,2.1225588147881,1.93688925030139,4.57626423243039,2.8781769729494,2.29639032035437,2.89111102554422,5.00843670592488,4.24728213908748,2.66768658837743,2.37960961671417,2.19039820172303,2.51014750378647,4.2290348817661,2.74646364390084,3,25,5
"14",2.44773810211587,2.23156849497077,6.81528477274335,2.40380076464482,2.25453636158813,1.98218501918077,1.70034865362064,2.04566702815917,1.57953870382266,2.80629301713607,2.48114520026606,1.81237626547668,2.63432918436174,1.29398104001213,1.89354388434714,1.50933375591168,2.47506817390288,2.51639156037669,4.48419731113765,5.82866254981465,5.3122688890578,2.78979114404226,1.54610827864559,7.02577461018589,2.87668117417037,3.43568934570815,3.45592936563057,2.09096628025245,3.10601618057679,3.55969390407397,3.42380488017302,1.85697707700763,3.35693396103432,3.72692756402852,3.87115284560495,3.97057690428078,4.08051581868339,17.7190066600688,3.12975088450362,2.09107681300308,2.49171348425191,2.69210873210948,2.04341190763794,2.50858115622129,4.11184665459097,2.32624774442425,0.723413432957654,3.57924504103034,2.85896935642615,5.63943383300958,3,25,5
"15",2.89853421872824,0.977710025012185,3.28338912099535,1.706821581785,1.68656440447173,1.64597855083753,2.09662955381201,1.7951729849005,2.12688771326412,3.98029053263008,3.15987521988301,2.13338182224915,2.12003958883347,2.03603857458585,1.8654803213091,2.75981072504135,2.37017231206343,1.98099877279378,5.69228504544181,2.87471307117782,3.75995668414396,2.77456598627914,2.47516178266474,3.47441735374117,2.05918638366996,2.91019949107511,3.19863855082751,1.25492371182855,2.36149792493389,1.9964495781602,4.28744326319731,3.5671949211163,3.07194316602293,4.47469780343564,6.75627566212608,5.68350205889735,3.25402899211744,9.10307106837516,2.86962574325813,2.26917123185368,1.89362828658564,2.57007804217112,7.66853590417389,3.78368216297939,3.2459870058084,3.43838305108729,0.649724987486102,2.80216544077215,2.10262633644555,2.49079020113533,3,25,5
"16",0.911102867736932,2.27924348144802,7.4379516610128,1.97718870627474,2.08254713008403,2.80583182438072,1.80641049255142,1.92798408721267,3.85153314733352,3.00212486463095,2.36811234903073,1.77622109756765,1.87489267171985,1.89288534462772,2.21890222192619,2.54718233591283,2.43677368227445,3.21932457899211,9.56542984927908,3.86425093460291,4.0963085803395,4.05478556862346,1.98827076593037,9.66538239932782,1.49393830205902,3.95980059848838,2.93427126295873,0.969292755075102,4.10187559642772,2.09277260015712,6.5199904122999,4.36554385325542,3.39356246789159,3.38420363398142,5.92364718505435,3.09203284529321,3.50664315211387,6.41878972530302,2.82063975589124,2.46552202622172,2.89154569680617,2.91542267493106,3.49525217361783,4.02815548640064,2.48114809412942,3.30371545097493,0.960525402935818,1.86176215497186,3.23519057761068,10.7637131636625,3,25,5
